date_updated,new_cases,new_deaths,new_tests,total_cases_updated,total_deaths_updated,total_tests_updated,StringencyIndex_updated,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated
2020-04-25,72452.0,5348.0,795758.0,2729793.0,199406.0,24175654.0,79.88608695652174,85.5064596273292,71.8604968944099,76.11745341614908,48.4472049689441
2020-04-26,99908.0,6173.0,726067.0,2829701.0,205579.0,25321083.0,79.8803105590062,85.50360248447207,71.85639751552792,76.11273291925465,48.4472049689441
2020-04-27,81556.0,3901.0,744144.0,2911257.0,209480.0,26111137.0,79.63844720496895,85.23739130434785,71.7449068322981,75.95285714285716,48.60248447204969
2020-04-28,65428.0,4892.0,870133.0,2976685.0,214372.0,27264069.0,79.69018633540374,85.29652173913045,71.88031055900618,76.0139751552795,49.14596273291925
2020-04-29,71831.0,6545.0,1026317.0,3048516.0,220917.0,28376787.0,79.63260869565218,85.2521739130435,71.92018633540368,76.06111801242236,49.14596273291925
2020-04-30,78498.0,6555.0,1123318.0,3127014.0,227472.0,29984315.0,79.42123456790124,85.04191358024691,71.96679012345678,75.96104938271604,50.0
2020-05-01,85037.0,5644.0,1124573.0,3212051.0,233116.0,30976519.0,79.12407407407404,84.77734567901234,71.82024691358023,75.7738888888889,50.07716049382716
2020-05-02,88499.0,5571.0,918873.0,3300550.0,238687.0,31952847.0,79.19259259259255,84.82141975308643,71.86777777777776,75.83006172839507,50.07716049382716
2020-05-03,80681.0,4807.0,818062.0,3381231.0,243494.0,33249069.0,79.16691358024688,84.76253086419753,71.8499382716049,75.80901234567902,50.07716049382716
2020-05-04,76999.0,3695.0,906487.0,3458230.0,247189.0,34201051.0,77.8949382716049,83.59697530864197,71.00913580246907,74.84351851851852,49.92283950617284
2020-05-05,75880.0,3969.0,1101376.0,3534110.0,251158.0,35304363.0,77.69499999999996,83.3662962962963,70.95370370370365,74.70777777777778,50.30864197530864
2020-05-06,78097.0,5963.0,1058848.0,3612207.0,257121.0,36759343.0,77.4149382716049,83.18993827160496,70.71240740740735,74.47864197530865,50.0
2020-05-07,87244.0,6117.0,1205074.0,3699451.0,263238.0,38272762.0,77.35771604938267,83.10913580246915,70.84697530864193,74.55358024691355,50.46296296296296
2020-05-08,92044.0,5629.0,1303136.0,3791495.0,268867.0,39579327.0,76.90629629629626,82.79753086419754,70.54222222222216,74.19358024691356,50.46296296296296
2020-05-09,89041.0,5127.0,1169184.0,3880536.0,273994.0,40795150.0,76.88925925925923,82.75339506172841,70.53043209876537,74.17956790123456,50.46296296296296
2020-05-10,88613.0,4394.0,956084.0,3969149.0,278388.0,42298202.0,76.99209876543206,82.81222222222223,70.60160493827156,74.26376543209875,50.46296296296296
2020-05-11,74669.0,3420.0,1100220.0,4043818.0,281808.0,43414387.0,76.06888888888885,81.79061728395064,70.08537037037034,73.63944444444445,50.54012345679013
2020-05-12,69260.0,3595.0,1218489.0,4113078.0,285403.0,44661578.0,75.95172839506168,81.65240740740744,70.03604938271603,73.580987654321,50.54012345679013
2020-05-13,85567.0,5755.0,1350803.0,4198645.0,291158.0,46207578.0,75.75450617283946,81.44666666666672,69.94709876543207,73.47574074074076,50.54012345679013
2020-05-14,85972.0,5017.0,1403418.0,4284617.0,296175.0,47894747.0,75.17444444444439,80.81907407407411,69.52185185185182,73.00104938271606,50.385802469135804
