location,primary_key_reaction,iso_code,minDate,maxDate,maxValue,changeGovResp,ramp_up_duration,population,population_density,median_age,newCases_startDate,CaseVsResp_Interval,AvgMaxGovResp_StartApr1,MaxNewCases_date,MaxNewCases_value,StartToMaxNewCases_Interval,MaxNewDeaths_date,MaxNewDeaths_value,MaxNewCasesToMaxNewDeaths_Interval,FirstNewCaseToMaxNewDeaths,3mth_date,newCases_3mnth,totCases_3mnth,newDeaths_3mnth,totDeaths_3mnth,gdp_per_capita,StringencyIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,avgOutdoorMobil
Croatia,HRV2020-08-31,HRV,2020-02-03,2020-04-02,92.95,78.95,59 days 00:00:00.000000000,4105268.0,73.726,44.0,2020-02-26,23 days 00:00:00.000000000,64.30294117647064,2020-08-27,358.0,206 days 00:00:00.000000000,2020-04-20,8.0,-129 days +00:00:00.000000000,54 days 00:00:00.000000000,2020-03-27,77.0,495.0,1.0,2.0,,52.32999999999986,59.374705882352934,91.42156862745098,-37.2094674556213,-17.481166464155528,-1.2943770672546857,-40.54324517512509,-29.751438434982738,10.269509251810137,-25.255938919427866
Cuba,CUB2020-08-31,CUB,2020-03-12,2020-05-11,87.18,73.18,60 days 00:00:00.000000000,11326616.0,110.408,43.1,2020-03-12,0 days 00:00:00.000000000,72.98771241830076,2020-08-11,93.0,152 days 00:00:00.000000000,2020-04-25,6.0,-108 days +00:00:00.000000000,44 days 00:00:00.000000000,2020-04-11,49.0,564.0,0.0,15.0,,78.88986928104566,77.3631372549021,48.937908496732035,,,,,,,
Cyprus,CYP2020-08-31,CYP,2020-03-10,2020-04-16,96.15,82.15,37 days 00:00:00.000000000,875899.0,127.657,37.3,2020-03-10,0 days 00:00:00.000000000,76.8795424836598,2020-04-02,58.0,23 days 00:00:00.000000000,2020-03-25,3.0,-8 days +00:00:00.000000000,15 days 00:00:00.000000000,2020-04-09,32.0,526.0,0.0,9.0,,67.63254901960781,72.67784313725481,100.0,,,,,,,
Czech Republic,CZE2020-08-31,CZE,2020-03-01,2020-03-31,85.26,71.26,30 days 00:00:00.000000000,10708982.0,137.17600000000002,43.3,2020-03-02,1 days 00:00:00.000000000,57.49405228758162,2020-08-22,506.0,174 days 00:00:00.000000000,2020-04-15,18.0,-129 days +00:00:00.000000000,44 days 00:00:00.000000000,2020-04-01,306.0,3308.0,7.0,31.0,,46.88104575163389,53.50771241830057,79.41176470588233,,,,,,,
Democratic Republic of Congo,COD2020-08-31,COD,2020-03-11,2020-04-15,69.87,55.870000000000005,35 days 00:00:00.000000000,89561404.0,35.879,17.0,2020-03-11,0 days 00:00:00.000000000,63.34274509803911,2020-06-26,384.0,107 days 00:00:00.000000000,2020-05-16,10.0,-41 days +00:00:00.000000000,66 days 00:00:00.000000000,2020-04-10,32.0,215.0,0.0,20.0,,71.63915032679752,66.18300653594747,47.7124183006536,,,,,,,
Denmark,DNK2020-08-31,DNK,2020-03-03,2020-05-12,74.36,60.36,70 days 00:00:00.000000000,5792203.0,136.52,42.3,2020-02-27,-5 days +00:00:00.000000000,70.19150326797393,2020-04-08,390.0,36 days 00:00:00.000000000,2020-04-05,22.0,-3 days +00:00:00.000000000,38 days 00:00:00.000000000,2020-03-28,169.0,2046.0,11.0,52.0,,63.20457516339853,68.05281045751617,81.94444444444444,-19.766666666666666,-5.644444444444445,95.60853432282003,-37.3537037037037,-32.35925925925926,10.511111111111111,0.09689204974919222
Djibouti,DJI2020-08-31,DJI,2020-03-19,2020-04-30,88.46,74.46,42 days 00:00:00.000000000,988002.0,41.285,25.4,2020-03-19,0 days 00:00:00.000000000,60.36019607843154,2020-05-21,310.0,63 days 00:00:00.000000000,2020-05-26,4.0,5 days 00:00:00.000000000,68 days 00:00:00.000000000,2020-04-18,141.0,732.0,0.0,2.0,,62.50333333333357,68.17124183006554,17.401960784313722,,,,,,,
Dominican Republic,DOM2020-08-31,DOM,2020-03-16,2020-04-28,80.13,66.13,43 days 00:00:00.000000000,10847904.0,222.873,27.6,2020-03-02,-14 days +00:00:00.000000000,70.4748366013071,2020-07-27,2012.0,133 days 00:00:00.000000000,2020-04-13,38.0,-105 days +00:00:00.000000000,42 days 00:00:00.000000000,2020-04-01,208.0,1109.0,9.0,51.0,,83.27705882352956,78.74352941176467,25.0,-55.40100755667506,-38.592592592592595,-52.06304347826087,-70.89667565139263,-46.43009174311926,23.704712041884818,-52.67668220440809
Ecuador,ECU2020-08-31,ECU,2020-03-13,2020-04-01,87.82,73.82,19 days 00:00:00.000000000,17643060.0,66.939,28.1,2020-03-01,-12 days +00:00:00.000000000,80.90346405228733,2020-04-27,11536.0,45 days 00:00:00.000000000,2020-05-11,410.0,14 days 00:00:00.000000000,71 days 00:00:00.000000000,2020-03-31,76.0,1966.0,4.0,62.0,,83.52699346405205,81.97745098039212,75.0,-64.8032319391635,-53.671599317017645,-60.291555555555554,-74.58744635193133,-58.10088888888889,29.145069274653626,-62.290944410511386
Egypt,EGY2020-08-31,EGY,2020-03-15,2020-05-31,82.69,68.69,77 days 00:00:00.000000000,102334403.0,97.999,25.3,2020-02-15,-29 days +00:00:00.000000000,71.753071895425,2020-06-20,1774.0,97 days 00:00:00.000000000,2020-06-16,97.0,-4 days +00:00:00.000000000,122 days 00:00:00.000000000,2020-03-16,17.0,110.0,0.0,2.0,,71.94627450980401,72.94300653594776,65.19607843137257,-48.61625947767481,0.30470085470085473,-31.612294288480154,-47.4264631043257,-25.709920634920636,12.747083527764815,-30.612047330140093
