,country,PC 1,PC 2,PC 3,Class,logPercent_maxNC,logPercent_TC_3mnth
88,Luxembourg,2.374240874524141,8.688564903031015,1.6956575795514983,1,-1.4273418252134273,-0.49814130256227573
89,Madagascar,-2.8127297008544128,-1.5328920405538755,0.2055862768842247,0,-2.6541705664727475,-3.359553567297465
90,Malawi,-2.955761760496426,-1.0048106189590111,1.0263371945148891,0,-2.9984127197202612,-3.7019303518070004
91,Malaysia,1.070816258273575,-0.5659601300703887,-0.24312579889447014,2,-3.0387972918973762,-4.167666322134108
92,Mali,-1.7079931503827157,-0.3607517281652314,-0.9668753418774616,0,-3.265050228522805,-2.7945595527021556
93,Mauritania,-3.006715396998468,-0.8901717122902257,0.3435258883237131,0,-1.896569185221479,-3.8223231568493663
94,Mauritius,3.0797470403589933,2.093954031777795,-2.8321901138956114,2,-2.4916236949360036,-1.5925241906768648
95,Mexico,1.9102470193127459,-1.368342881265621,-1.774242197688004,2,-2.130087114834778,-3.113414007417237
96,Moldova,1.7076841222208765,0.3408806436409261,0.5791164056273403,2,-1.7103093644537188,-1.6212045971493338
97,Mongolia,-3.2797652403021043,-0.11420585259774405,-0.022487772613279132,0,-2.64641591417124,-3.3115276512462914
98,Morocco,4.4959534415005,-1.0997375719448863,-0.7863924058653267,2,-2.1270290075588996,-2.751572862422436
99,Mozambique,-1.1330775113030265,-2.0272287975623358,-0.013571004130067944,0,-3.342637203225786,-3.903860940582343
100,Myanmar,-2.729552410906844,-1.803339021206184,0.8906061188254553,0,-3.767194133080096,-3.631873360678074
101,Namibia,0.9353267188312496,-0.9908819905897328,-0.7804438817883176,2,-1.9053032253522801,-3.2008703253147592
102,Nepal,1.5952054581325004,-2.365565642417963,1.0223651404775569,2,-2.2334824163965283,-5.464441972145098
103,Netherlands,-0.0324860856823525,7.330922063941164,1.917733517900588,1,-2.108399624179759,-1.2443420865598507
104,New Zealand,0.8974543238849523,1.3688652980576057,-1.8896065302618348,2,-2.7055245854414274,-2.005641238009782
105,Nicaragua,-2.000088312884874,1.6870921075067202,-4.768840493327884,0,-2.1399154072167934,-3.866914135153056
106,Niger,-2.763821234294363,0.7894026008924213,-2.58711613772278,0,-3.545085348925552,-2.5723594337922133
107,Nigeria,-0.2902905680004444,-1.9260689776920739,-0.14914127900643714,0,-3.4165343103128163,-4.3273896673370125
108,Norway,-1.4414188142310582,4.0659880656464775,-0.9004585417491823,1,-2.105709864228772,-1.1800944732671808
109,Oman,1.1336765129564397,-2.4110212080479907,3.237675331076073,2,-1.3728764554664714,-2.712498517303453
110,Pakistan,0.42209598097395945,-1.2750513155393828,0.10885554298797898,2,-2.5100779824664845,-3.2660864877728675
111,Palestine,-2.057994817692093,-2.3511010989170518,1.6590834037257487,0,-1.8479521737500286,-2.517359041776884
112,Panama,5.450575738502073,1.7084110393391876,1.132383863307017,2,-1.4474367283390928,-1.2321803795652084
113,Papua New Guinea,-2.3449905240117013,-1.047419845132415,-0.2896757976632923,0,-3.211316058448511,-4.106580707928498
114,Paraguay,2.7490055846024344,-1.9492577161977176,0.16711949778085927,2,-1.9953083422913613,-2.8001651635273705
115,Peru,6.278380314017986,-0.3684780881440594,1.3810945460303212,2,-1.5119768372528235,-2.160017977461606
116,Philippines,2.110485336753791,-2.3770140330533387,0.480100150627256,2,-2.212043307544523,-5.562614341499306
117,Poland,0.1278518896728931,0.6594361239369909,-1.1495172961988342,2,-2.6223391772241613,-2.108794185031055
118,Portugal,2.5449366658603134,4.648257576692774,1.3372023265006734,1,-1.8277607388352246,-1.0919533530161039
119,Puerto Rico,3.5395960708049925,1.9111724209122212,1.4210730349279062,2,-1.4186688188351686,-1.3194561146339976
120,Qatar,2.2910390017019524,-0.4483067322456439,1.3678298249862504,2,-1.0875613913825157,-1.6188190682356238
121,Romania,1.2492160664204204,0.20745455588648498,-0.38118637701768665,2,-2.106904905289399,-2.1728902278859574
122,Russia,0.041928411322394665,-0.6399590189637554,-0.5187624635113055,2,-2.062410781488868,-5.863127859771254
123,Rwanda,2.07903434792888,-1.5535509721989331,-0.9197547449500671,2,-2.7487318637912823,-3.0085401227274695
124,Saudi Arabia,2.1049439027324865,-0.8344323472755267,0.1431015666470683,2,-1.8498754432841715,-2.306223818935954
